CSF Element,CSF Element Description,Priority,"Recommendations, Considerations, Notes"
GV (Govern),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Low,
GV.OC (Organizational Context),"The circumstances — mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements — surrounding the organization's cybersecurity risk management decisions are understood",Low,
GV.OC-01,The organizational mission is understood and informs cybersecurity risk management,Low,
GV.OC-02,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered",Low,
GV.OC-03,"Legal, regulatory, and contractual requirements regarding cybersecurity — including privacy and civil liberties obligations — are understood and managed",Medium,"R1: Cybersecurity requirements should include all requirements related to incident notifications, data breach reporting, and other aspects of incident response."
GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",Medium,N1: Understanding critical external dependencies on the organization's operations can aid in prioritizing response and recovery efforts.
GV.OC-05,"Outcomes, capabilities, and services that the organization depends on are understood and communicated",Medium,"N1: Understanding critical dependencies on external resources (e.g., cloud-based hosting providers and managed service providers) can aid in prioritizing response and recovery efforts."
GV.RM (Risk Management Strategy),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",Low,
GV.RM-01,Risk management objectives are established and agreed to by organizational stakeholders,Low,
GV.RM-02,"Risk appetite and risk tolerance statements are established, communicated, and maintained",Low,
GV.RM-03,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,Medium,"R1: Have processes in place so that incident-related decision-making will be informed by other types of risks that the organization faces (e.g., privacy, operational, safety, reputational, AI) and not just cybersecurity risks in isolation."
GV.RM-04,Strategic direction that describes appropriate risk response options is established and communicated,Low,
GV.RM-05,"Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties",Low,
